Id,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed acidity
0,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,7.4
1,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,7.8
2,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,7.8
3,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,11.2
4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,7.4
5,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,7.4
6,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,7.9
7,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,7.3
8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,7.8
10,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,6.7
12,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,5.6
13,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,7.8
16,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,8.5
19,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,7.9
21,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,7.6
22,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,7.9
23,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,8.5
24,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,6.9
25,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,6.3
26,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,7.6
28,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,7.1
29,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,7.8
30,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,6.7
32,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,8.3
34,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,5.2
35,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,7.8
